EventID,SportID,VenueID,Event,Year,Season
1715,13,22,"Wrestling Men's Featherweight, Freestyle",1964,Summer
1716,9,12,Gymnastics Women's Individual All-Around,2004,Summer
1717,9,12,Gymnastics Women's Team All-Around,2004,Summer
1718,9,12,Gymnastics Women's Floor Exercise,2004,Summer
1719,9,12,Gymnastics Women's Horse Vault,2004,Summer
1720,9,12,Gymnastics Women's Uneven Bars,2004,Summer
1721,9,12,Gymnastics Women's Balance Beam,2004,Summer
1722,9,9,Gymnastics Men's Individual All-Around,1912,Summer
1723,3,12,Football Women's Football,2004,Summer
1724,5,22,Athletics Men's 110 metres Hurdles,1964,Summer
1725,3,9,Football Men's Football,1912,Summer
1726,5,13,Athletics Women's 100 metres,1968,Summer
1727,5,13,Athletics Women's 200 metres,1968,Summer
1728,5,13,Athletics Women's 4 x 100 metres Relay,1968,Summer
1729,32,7,Table Tennis Men's Singles,2000,Summer
1730,32,12,Table Tennis Men's Doubles,2004,Summer
1731,5,8,Athletics Women's 400 metres Hurdles,1996,Summer
1732,7,8,Badminton Men's Singles,1996,Summer
1733,7,8,Badminton Mixed Doubles,1996,Summer
1734,20,15,Boxing Men's Heavyweight,1988,Summer
1735,5,21,Athletics Women's 400 metres,1980,Summer
1736,5,21,Athletics Women's 4 x 400 metres Relay,1980,Summer
1737,21,10,Taekwondo Women's Flyweight,2008,Summer
1738,34,5,Rhythmic Gymnastics Women's Individual,1984,Summer
1739,34,15,Rhythmic Gymnastics Women's Individual,1988,Summer
1740,19,11,"Shooting Men's Rapid-Fire Pistol, 25 metres",2016,Summer
1741,13,20,"Wrestling Men's Heavyweight, Greco-Roman",1976,Summer
1742,29,14,Archery Women's Individual,1972,Summer
1743,5,22,Athletics Men's Shot Put,1964,Summer
1744,5,14,Athletics Men's Shot Put,1972,Summer
1745,5,2,Athletics Women's 800 metres,2012,Summer
1746,5,11,Athletics Women's 800 metres,2016,Summer
1747,5,11,"Athletics Women's 1,500 metres",2016,Summer
1748,12,10,Weightlifting Men's Middle-Heavyweight,2008,Summer
1749,29,14,Archery Men's Individual,1972,Summer
1750,14,7,Water Polo Women's Water Polo,2000,Summer
1751,20,5,Boxing Men's Light-Flyweight,1984,Summer
1752,18,14,"Equestrianism Mixed Jumping, Individual",1972,Summer
1753,18,14,"Equestrianism Mixed Jumping, Team",1972,Summer
1754,17,14,"Fencing Men's Sabre, Individual",1972,Summer
1755,5,1,"Athletics Women's 1,500 metres",1992,Summer
1756,16,7,Rowing Men's Single Sculls,2000,Summer
1757,25,12,Tennis Men's Singles,1896,Summer
1758,25,12,Tennis Men's Doubles,1896,Summer
1759,17,4,"Fencing Men's Foil, Individual",1924,Summer
1760,17,4,"Fencing Men's epee, Team",1924,Summer
1761,17,19,"Fencing Men's Sabre, Individual",1928,Summer
1762,2,12,Judo Women's Half-Heavyweight,2004,Summer
1763,17,11,"Fencing Women's Sabre, Team",2016,Summer
1764,6,10,Swimming Women's 100 metres Freestyle,2008,Summer
1765,6,10,Swimming Women's 4 x 100 metres Freestyle Relay,2008,Summer
1766,6,10,Swimming Women's 4 x 100 metres Medley Relay,2008,Summer
1767,5,20,Athletics Women's 400 metres,1976,Summer
1768,5,20,Athletics Women's 4 x 400 metres Relay,1976,Summer
1769,20,10,Boxing Men's Lightweight,2008,Summer
1770,5,22,Athletics Men's Javelin Throw,1964,Summer
1771,3,16,Football Men's Football,1936,Summer
1772,13,13,"Wrestling Men's Heavyweight, Greco-Roman",1968,Summer
1773,5,5,Athletics Women's 100 metres,1984,Summer
1774,5,5,Athletics Women's 200 metres,1984,Summer
1775,5,5,Athletics Women's 100 metres Hurdles,1984,Summer
1776,5,2,Athletics Men's 100 metres,1948,Summer
1777,5,2,Athletics Men's 200 metres,1948,Summer
1778,5,2,Athletics Men's 4 x 100 metres Relay,1948,Summer
1779,19,7,"Shooting Women's Air Rifle, 10 metres",2000,Summer
1780,19,7,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",2000,Summer
1781,19,12,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",2004,Summer
1782,6,21,Swimming Women's 200 metres Freestyle,1980,Summer
1783,6,21,Swimming Women's 400 metres Freestyle,1980,Summer
1784,6,21,Swimming Women's 800 metres Freestyle,1980,Summer
1785,6,21,Swimming Women's 4 x 100 metres Medley Relay,1980,Summer
1786,13,21,"Wrestling Men's Light-Flyweight, Freestyle",1980,Summer
1787,6,11,Swimming Women's 50 metres Freestyle,2016,Summer
1788,5,20,Athletics Men's Marathon,1976,Summer
1789,5,8,Athletics Women's Marathon,1996,Summer
1790,5,7,Athletics Women's Marathon,2000,Summer
1791,13,10,"Wrestling Women's Heavyweight, Freestyle",2008,Summer
1792,5,12,Athletics Women's Heptathlon,2004,Summer
1793,8,20,Sailing Mixed Two Person Keelboat,1976,Summer
1794,20,8,Boxing Men's Welterweight,1996,Summer
1795,20,21,Boxing Men's Welterweight,1980,Summer
1796,20,12,Boxing Men's Heavyweight,2004,Summer
1797,5,20,Athletics Men's 4 x 400 metres Relay,1976,Summer
1798,22,15,Cycling Men's 100 kilometres Team Time Trial,1988,Summer
1799,19,11,Shooting Men's Double Trap,2016,Summer
1800,17,21,"Fencing Men's Foil, Individual",1980,Summer
1801,17,21,"Fencing Men's Foil, Team",1980,Summer
1802,17,21,"Fencing Men's Sabre, Individual",1980,Summer
1803,17,5,"Fencing Men's Foil, Individual",1984,Summer
1804,17,5,"Fencing Men's Foil, Team",1984,Summer
1805,5,5,"Athletics Men's 3,000 metres Steeplechase",1984,Summer
1806,5,15,Athletics Men's Javelin Throw,1988,Summer
1807,6,15,Swimming Men's 400 metres Freestyle,1988,Summer
1808,13,8,"Wrestling Men's Lightweight, Freestyle",1996,Summer
1809,19,2,Shooting Men's Trap,2012,Summer
1810,6,2,Swimming Men's 200 metres Butterfly,2012,Summer
1811,19,12,Shooting Men's Trap,2004,Summer
1812,6,1,Swimming Men's 100 metres Freestyle,1992,Summer
1813,6,1,Swimming Men's 100 metres Butterfly,1992,Summer
1814,5,20,Athletics Men's 400 metres,1976,Summer
1815,2,20,Judo Men's Lightweight,1976,Summer
1816,19,12,Shooting Men's Double Trap,2004,Summer
1817,19,2,Shooting Men's Double Trap,2012,Summer
1818,12,15,Weightlifting Men's Flyweight,1988,Summer
1819,12,7,Weightlifting Men's Light-Heavyweight,2000,Summer
1820,12,15,Weightlifting Men's Lightweight,1988,Summer
1821,5,10,Athletics Men's 800 metres,2008,Summer
1822,5,2,Athletics Men's 800 metres,2012,Summer
1823,6,2,Swimming Men's 100 metres Butterfly,2012,Summer
1824,12,12,Weightlifting Men's Lightweight,2004,Summer
1825,17,1,"Fencing Men's Sabre, Individual",1992,Summer
1826,13,15,"Wrestling Men's Welterweight, Greco-Roman",1988,Summer
1827,12,11,Weightlifting Women's Lightweight,2016,Summer
1828,20,15,Boxing Men's Super-Heavyweight,1988,Summer
1829,19,11,"Shooting Women's Air Pistol, 10 metres",2016,Summer
1830,29,5,Archery Men's Individual,1984,Summer
1831,5,15,Athletics Men's Hammer Throw,1988,Summer
1832,5,20,Athletics Men's Shot Put,1976,Summer
1833,5,20,Athletics Men's Triple Jump,1976,Summer
1834,5,10,Athletics Women's 100 metres Hurdles,2008,Summer
1835,19,5,"Shooting Men's Air Rifle, 10 metres",1984,Summer
1836,19,15,"Shooting Men's Air Rifle, 10 metres",1988,Summer
1837,5,12,Athletics Men's 200 metres,2004,Summer
1838,5,10,Athletics Men's Discus Throw,2008,Summer
1839,5,2,Athletics Men's Discus Throw,2012,Summer
1840,5,11,Athletics Men's Discus Throw,2016,Summer
1841,19,1,Shooting Mixed Trap,1992,Summer
1842,19,8,Shooting Men's Trap,1996,Summer
1843,19,8,Shooting Men's Double Trap,1996,Summer
1844,19,7,Shooting Men's Double Trap,2000,Summer
1845,2,2,Judo Men's Half-Lightweight,2012,Summer
1846,6,8,Swimming Men's 100 metres Freestyle,1996,Summer
1847,12,8,Weightlifting Men's Bantamweight,1996,Summer
1848,21,7,Taekwondo Men's Heavyweight,2000,Summer
1849,5,7,Athletics Men's Discus Throw,2000,Summer
1850,17,15,"Fencing Men's epee, Team",1988,Summer
1851,18,8,"Equestrianism Mixed Jumping, Individual",1996,Summer
1852,18,8,"Equestrianism Mixed Jumping, Team",1996,Summer
1853,18,7,"Equestrianism Mixed Jumping, Individual",2000,Summer
1854,12,11,Weightlifting Men's Lightweight,2016,Summer
1855,6,1,Swimming Men's 100 metres Breaststroke,1992,Summer
1856,6,1,Swimming Men's 200 metres Breaststroke,1992,Summer
1857,2,10,Judo Men's Half-Heavyweight,2008,Summer
1858,19,11,Shooting Men's Trap,2016,Summer
1859,2,20,Judo Men's Half-Middleweight,1976,Summer
1860,5,2,Athletics Men's 400 metres,2012,Summer
1861,5,2,Athletics Men's Hammer Throw,2012,Summer
1862,5,10,Athletics Women's 200 metres,2008,Summer
1863,6,5,Swimming Men's 100 metres Butterfly,1984,Summer
1864,13,15,"Wrestling Men's Welterweight, Freestyle",1988,Summer
1865,32,8,Table Tennis Men's Singles,1996,Summer
1866,5,10,Athletics Men's Shot Put,2008,Summer
1867,6,10,Swimming Men's 100 metres Breaststroke,2008,Summer
1868,6,5,Swimming Men's 100 metres Breaststroke,1984,Summer
1869,17,10,"Fencing Men's Foil, Individual",2008,Summer
1870,17,1,"Fencing Men's epee, Individual",1992,Summer
1871,2,5,Judo Men's Lightweight,1984,Summer
1872,2,15,Judo Men's Middleweight,1988,Summer
1873,9,10,Gymnastics Men's Individual All-Around,2008,Summer
1874,9,10,Gymnastics Men's Floor Exercise,2008,Summer
1875,9,10,Gymnastics Men's Horse Vault,2008,Summer
1876,9,10,Gymnastics Men's Pommelled Horse,2008,Summer
1877,19,15,Shooting Mixed Trap,1988,Summer
1878,23,8,Diving Men's Springboard,1996,Summer
1879,32,1,Table Tennis Women's Singles,1992,Summer
1880,2,1,Judo Men's Extra-Lightweight,1992,Summer
1881,32,1,Table Tennis Men's Singles,1992,Summer
1882,29,15,Archery Men's Individual,1988,Summer
1883,5,7,Athletics Men's Javelin Throw,2000,Summer
1884,2,1,Judo Men's Lightweight,1992,Summer
1885,5,18,Athletics Men's 110 metres Hurdles,1960,Summer
1886,5,18,Athletics Men's 400 metres Hurdles,1960,Summer
1887,8,15,Sailing Mixed Windsurfer,1988,Summer
1888,6,12,Swimming Men's 50 metres Freestyle,2004,Summer
1889,5,7,Athletics Men's 800 metres,2000,Summer
1890,13,13,"Wrestling Men's Featherweight, Greco-Roman",1968,Summer
1891,20,18,Boxing Men's Light-Welterweight,1960,Summer
1892,20,22,Boxing Men's Welterweight,1964,Summer
1893,20,11,Boxing Men's Light-Welterweight,2016,Summer
1894,16,11,Rowing Men's Single Sculls,2016,Summer
1895,5,1,Athletics Men's Shot Put,1992,Summer
1896,5,1,Athletics Men's Discus Throw,1992,Summer
1897,5,8,Athletics Men's Shot Put,1996,Summer
1898,19,11,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",2016,Summer
1899,19,1,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",1992,Summer
1900,19,8,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",1996,Summer
1901,21,2,Taekwondo Men's Flyweight,2012,Summer
1902,6,7,Swimming Men's 100 metres Breaststroke,2000,Summer
1903,6,12,Swimming Men's 100 metres Breaststroke,2004,Summer
1904,8,5,Sailing Men's Windsurfer,1984,Summer
1905,19,7,Shooting Men's Trap,2000,Summer
1906,19,10,Shooting Men's Trap,2008,Summer
1907,19,10,Shooting Men's Double Trap,2008,Summer
1908,21,10,Taekwondo Women's Welterweight,2008,Summer
1909,5,21,Athletics Men's Marathon,1980,Summer
1910,29,2,Archery Women's Individual,2012,Summer
1911,5,1,Athletics Men's Decathlon,1992,Summer
1912,16,15,Rowing Men's Single Sculls,1988,Summer
1913,6,10,Swimming Men's 100 metres Butterfly,2008,Summer
1914,5,10,Athletics Men's Marathon,2008,Summer
1915,5,1,"Athletics Men's 1,500 metres",1992,Summer
1916,2,15,Judo Men's Lightweight,1988,Summer
1917,21,12,Taekwondo Men's Flyweight,2004,Summer
1918,5,7,Athletics Men's Long Jump,2000,Summer
1919,5,12,Athletics Men's Long Jump,2004,Summer
1920,17,11,"Fencing Women's Foil, Individual",2016,Summer
1921,6,15,Swimming Men's 400 metres Individual Medley,1988,Summer
1922,6,8,Swimming Men's 100 metres Breaststroke,1996,Summer
1923,5,15,Athletics Men's Discus Throw,1988,Summer
1924,5,14,Athletics Men's Javelin Throw,1972,Summer
1925,5,20,Athletics Men's 800 metres,1976,Summer
1926,12,2,Weightlifting Men's Middle-Heavyweight,2012,Summer
1927,2,10,Judo Men's Lightweight,2008,Summer
1928,6,15,Swimming Men's 100 metres Breaststroke,1988,Summer
1929,6,15,Swimming Men's 200 metres Breaststroke,1988,Summer
1930,6,1,Swimming Men's 4 x 100 metres Freestyle Relay,1992,Summer
1931,6,1,Swimming Men's 4 x 100 metres Medley Relay,1992,Summer
1932,13,2,"Wrestling Men's Featherweight, Greco-Roman",2012,Summer
1933,16,2,Rowing Men's Lightweight Double Sculls,2012,Summer
1934,5,10,Athletics Men's Long Jump,2008,Summer
1935,12,8,Weightlifting Men's Lightweight,1996,Summer
1936,5,20,"Athletics Men's 1,500 metres",1976,Summer
1937,5,20,"Athletics Men's 10,000 metres",1976,Summer
1938,6,15,Swimming Men's 50 metres Freestyle,1988,Summer
1939,6,15,Swimming Men's 100 metres Freestyle,1988,Summer
1940,19,15,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",1988,Summer
1941,6,8,Swimming Men's 200 metres Freestyle,1996,Summer
1942,17,11,"Fencing Men's epee, Individual",2016,Summer
1943,5,15,Athletics Men's Long Jump,1988,Summer
1944,5,1,Athletics Men's High Jump,1992,Summer
1945,5,1,Athletics Men's Long Jump,1992,Summer
1946,2,1,Judo Men's Half-Lightweight,1992,Summer
1947,5,12,Athletics Men's Shot Put,2004,Summer
1948,23,15,Diving Men's Springboard,1988,Summer
1949,5,10,Athletics Men's 110 metres Hurdles,2008,Summer
1950,5,14,Athletics Men's Discus Throw,1972,Summer
1951,5,11,"Athletics Men's 1,500 metres",2016,Summer
1952,5,20,Athletics Men's Discus Throw,1976,Summer
1953,5,12,Athletics Men's Hammer Throw,2004,Summer
1954,5,10,Athletics Men's Hammer Throw,2008,Summer
1955,5,21,Athletics Men's Shot Put,1980,Summer
1956,19,13,"Shooting Mixed Free Rifle, Three Positions, 300 metres",1968,Summer
1957,19,14,"Shooting Mixed Free Rifle, Three Positions, 300 metres",1972,Summer
1958,13,10,"Wrestling Men's Lightweight, Greco-Roman",2008,Summer
1959,12,20,Weightlifting Men's Middleweight,1976,Summer
1960,17,2,"Fencing Men's epee, Individual",2012,Summer
1961,8,10,Sailing Women's Windsurfer,2008,Summer
1962,8,2,Sailing Women's Windsurfer,2012,Summer
1963,8,11,Sailing Women's Windsurfer,2016,Summer
1964,5,20,Athletics Women's 100 metres,1976,Summer
1965,5,20,Athletics Women's 200 metres,1976,Summer
1966,5,21,Athletics Women's 200 metres,1980,Summer
1967,5,15,Athletics Women's Javelin Throw,1988,Summer
1968,5,1,Athletics Women's Javelin Throw,1992,Summer
1969,17,9,"Fencing Men's Sabre, Individual",1912,Summer
1970,13,14,"Wrestling Men's Flyweight, Freestyle",1972,Summer
1971,5,2,Athletics Women's 400 metres,2012,Summer
1972,13,14,"Wrestling Men's Featherweight, Greco-Roman",1972,Summer
1973,25,1,Tennis Men's Singles,1992,Summer
1974,25,7,Tennis Men's Singles,2000,Summer
1975,5,2,"Athletics Women's 3,000 metres Steeplechase",2012,Summer
1976,24,20,"Canoeing Men's Kayak Fours, 1,000 metres",1976,Summer
1977,22,9,"Cycling Men's Road Race, Individual",1912,Summer
1978,22,9,"Cycling Men's Road Race, Team",1912,Summer
1979,22,3,Cycling Men's 50 kilometres,1920,Summer
1980,5,18,Athletics Men's 800 metres,1960,Summer
1981,13,13,"Wrestling Men's Bantamweight, Freestyle",1968,Summer
1982,5,14,Athletics Women's 4 x 100 metres Relay,1972,Summer
1983,6,13,Swimming Men's 200 metres Individual Medley,1968,Summer
1984,6,13,Swimming Men's 400 metres Individual Medley,1968,Summer
1985,6,22,Swimming Men's 200 metres Butterfly,1964,Summer
1986,6,22,Swimming Men's 400 metres Individual Medley,1964,Summer
1987,6,13,Swimming Men's 400 metres Freestyle,1968,Summer
1988,6,13,"Swimming Men's 1,500 metres Freestyle",1968,Summer
1989,12,13,Weightlifting Men's Lightweight,1968,Summer
1990,5,5,Athletics Men's Triple Jump,1932,Summer
1991,5,13,"Athletics Men's 10,000 metres",1968,Summer
1992,1,8,Basketball Men's Basketball,1996,Summer
1993,22,11,Cycling Men's Individual Time Trial,2016,Summer
1994,16,15,Rowing Men's Coxed Fours,1988,Summer
1995,5,17,Athletics Men's Discus Throw,1956,Summer
1996,5,18,Athletics Men's Discus Throw,1960,Summer
1997,5,13,Athletics Men's Pole Vault,1968,Summer
1998,2,12,Judo Men's Middleweight,2004,Summer
1999,2,10,Judo Men's Middleweight,2008,Summer
2000,38,11,Triathlon Men's Olympic Distance,2016,Summer
2001,2,12,Judo Men's Half-Lightweight,2004,Summer
2002,6,1,Swimming Women's 100 metres Backstroke,1992,Summer
2003,6,1,Swimming Women's 200 metres Backstroke,1992,Summer
2004,19,6,"Shooting Men's Rapid-Fire Pistol, 25 metres",1952,Summer
2005,19,13,"Shooting Mixed Rapid-Fire Pistol, 25 metres",1968,Summer
2006,5,4,Athletics Men's Marathon,1924,Summer
2007,21,11,Taekwondo Men's Heavyweight,2016,Summer
2008,17,13,"Fencing Men's epee, Team",1968,Summer
2009,22,12,"Cycling Men's Road Race, Individual",1906,Summer
2010,22,12,Cycling Men's 333 metres Time Trial,1906,Summer
2011,22,12,"Cycling Men's Tandem Sprint, 2,000 metres",1906,Summer
2012,22,12,Cycling Men's 20 kilometres,1906,Summer
2013,8,20,Sailing Mixed Three Person Keelboat,1976,Summer
2014,17,3,"Fencing Men's epee, Team",1920,Summer
2015,17,4,"Fencing Men's Foil, Team",1924,Summer
2016,18,5,"Equestrianism Mixed Jumping, Individual",1984,Summer
2017,18,5,"Equestrianism Mixed Jumping, Team",1984,Summer
2018,25,3,Tennis Men's Doubles,1920,Summer
2019,13,13,"Wrestling Men's Flyweight, Freestyle",1968,Summer
2020,12,2,Weightlifting Men's Super-Heavyweight,2012,Summer
2021,24,6,"Canoeing Men's Kayak Singles, 10,000 metres",1952,Summer
2022,14,13,Water Polo Men's Water Polo,1968,Summer
2023,8,4,Sailing Mixed Open,1900,Summer
2024,8,4,Sailing Mixed 1-2 Ton,1900,Summer
2025,20,3,Boxing Men's Flyweight,1920,Summer
2026,18,8,"Equestrianism Mixed Three-Day Event, Team",1996,Summer
2027,16,11,Rowing Women's Coxed Eights,2016,Summer
2028,3,2,Football Men's Football,1908,Summer
2029,6,6,Swimming Women's 200 metres Breaststroke,1952,Summer
2030,24,14,"Canoeing Men's Canadian Singles, Slalom",1972,Summer
2031,30,1,Volleyball Men's Volleyball,1992,Summer
2032,38,12,Triathlon Men's Olympic Distance,2004,Summer
2033,18,2,"Equestrianism Mixed Three-Day Event, Individual",2012,Summer
2034,5,2,Athletics Men's 400 metres Hurdles,1948,Summer
2035,6,12,Swimming Men's 100 metres Freestyle,1906,Summer
2036,6,12,Swimming Men's One Mile Freestyle,1906,Summer
2037,5,2,"Athletics Men's 10,000 metres",1948,Summer
2038,5,14,Athletics Women's Long Jump,1972,Summer
2039,23,8,Diving Women's Springboard,1996,Summer
2040,16,13,Rowing Men's Coxless Fours,1968,Summer
2041,20,6,Boxing Men's Lightweight,1952,Summer
2042,13,11,"Wrestling Men's Welterweight, Greco-Roman",2016,Summer
2043,24,6,"Canoeing Men's Kayak Singles, 1,000 metres",1952,Summer
2044,19,18,"Shooting Men's Free Rifle, Three Positions, 300 metres",1960,Summer
2045,25,11,Tennis Men's Singles,2016,Summer
2046,16,4,Rowing Men's Coxless Fours,1924,Summer
2047,16,4,Rowing Men's Coxed Fours,1924,Summer
2048,13,14,"Wrestling Men's Heavyweight, Greco-Roman",1972,Summer
2049,19,18,"Shooting Men's Rapid-Fire Pistol, 25 metres",1960,Summer
2050,19,22,"Shooting Men's Rapid-Fire Pistol, 25 metres",1964,Summer
2051,13,18,"Wrestling Men's Light-Heavyweight, Greco-Roman",1960,Summer
2052,8,10,Sailing Men's Two Person Dinghy,2008,Summer
2053,8,11,Sailing Mixed Multihull,2016,Summer
2054,7,1,Badminton Women's Doubles,1992,Summer
2055,8,13,Sailing Mixed Two Person Keelboat,1968,Summer
2056,8,14,Sailing Mixed Two Person Keelboat,1972,Summer
2057,5,16,Athletics Men's High Jump,1936,Summer
2058,13,18,"Wrestling Men's Light-Heavyweight, Freestyle",1960,Summer
2059,5,18,Athletics Men's Hammer Throw,1960,Summer
2060,6,15,Swimming Men's 100 metres Butterfly,1988,Summer
2061,8,6,Sailing Mixed One Person Dinghy,1952,Summer
2062,8,17,Sailing Mixed One Person Dinghy,1956,Summer
2063,8,18,Sailing Mixed One Person Dinghy,1960,Summer
2064,5,16,Athletics Women's 100 metres,1936,Summer
2065,5,16,Athletics Women's 4 x 100 metres Relay,1936,Summer
2066,23,15,Diving Women's Springboard,1988,Summer
2067,23,8,Diving Women's Platform,1996,Summer
2068,23,7,Diving Women's Platform,2000,Summer
2069,23,7,Diving Women's Synchronized Springboard,2000,Summer
2070,23,7,Diving Women's Synchronized Platform,2000,Summer
2071,5,5,Athletics Men's 50 kilometres Walk,1984,Summer
2072,5,15,Athletics Men's 50 kilometres Walk,1988,Summer
2073,22,13,Cycling Men's 100 kilometres Team Time Trial,1968,Summer
2074,22,13,"Cycling Men's Team Pursuit, 4,000 metres",1968,Summer
2075,5,2,Athletics Women's Triple Jump,2012,Summer
2076,6,5,Swimming Men's 100 metres Backstroke,1984,Summer
2077,6,5,Swimming Men's 200 metres Backstroke,1984,Summer
2078,20,20,Boxing Men's Light-Welterweight,1976,Summer
2079,13,13,"Wrestling Men's Lightweight, Greco-Roman",1968,Summer
2080,20,13,Boxing Men's Light-Heavyweight,1968,Summer
2081,9,13,Gymnastics Women's Individual All-Around,1968,Summer
2082,9,13,Gymnastics Women's Team All-Around,1968,Summer
2083,9,13,Gymnastics Women's Floor Exercise,1968,Summer
2084,9,13,Gymnastics Women's Horse Vault,1968,Summer
2085,9,13,Gymnastics Women's Uneven Bars,1968,Summer
2086,9,13,Gymnastics Women's Balance Beam,1968,Summer
2087,5,7,Athletics Women's Triple Jump,2000,Summer
2088,5,12,Athletics Women's Triple Jump,2004,Summer
2089,5,10,Athletics Women's Triple Jump,2008,Summer
2090,22,3,"Cycling Men's Tandem Sprint, 2,000 metres",1920,Summer
2091,22,3,"Cycling Men's Team Pursuit, 4,000 metres",1920,Summer
2092,22,4,Cycling Men's 50 kilometres,1924,Summer
2093,5,19,Athletics Men's 4 x 400 metres Relay,1928,Summer
2094,24,21,"Canoeing Men's Kayak Doubles, 500 metres",1980,Summer
2095,6,6,Swimming Women's 100 metres Freestyle,1952,Summer
2096,6,6,Swimming Women's 4 x 100 metres Freestyle Relay,1952,Summer
2097,16,11,Rowing Men's Lightweight Coxless Fours,2016,Summer
2098,10,19,"Art Competitions Mixed Painting, Drawings And Water Colors",1928,Summer
2099,23,10,Diving Men's Synchronized Platform,2008,Summer
2100,22,5,Cycling Men's Points Race,1984,Summer
2101,22,15,Cycling Men's Points Race,1988,Summer
2102,12,7,Weightlifting Men's Super-Heavyweight,2000,Summer
2103,12,15,Weightlifting Men's Bantamweight,1988,Summer
2104,15,11,Hockey Men's Hockey,2016,Summer
2105,6,1,Swimming Women's 100 metres Freestyle,1992,Summer
2106,6,8,Swimming Women's 4 x 100 metres Medley Relay,1996,Summer
2107,19,9,"Shooting Men's Free Pistol, 50 metres",1912,Summer
2108,19,9,"Shooting Men's Dueling Pistol, 30 metres",1912,Summer
2109,21,2,Taekwondo Women's Flyweight,2012,Summer
2110,8,10,Sailing Women's One Person Dinghy,2008,Summer
2111,8,2,Sailing Women's Two Person Dinghy,2012,Summer
2112,8,11,Sailing Women's Two Person Dinghy,2016,Summer
2113,5,2,Athletics Men's 400 metres Hurdles,2012,Summer
2114,5,11,Athletics Men's 400 metres Hurdles,2016,Summer
2115,32,8,Table Tennis Women's Singles,1996,Summer
2116,5,8,Athletics Men's Discus Throw,1996,Summer
2117,5,12,Athletics Men's Discus Throw,2004,Summer
2118,20,2,Boxing Men's Light-Flyweight,2012,Summer
2119,16,2,Rowing Men's Single Sculls,2012,Summer
2120,16,11,Rowing Men's Double Sculls,2016,Summer
2121,6,2,Swimming Men's 200 metres Breaststroke,2012,Summer
2122,16,21,Rowing Men's Coxed Fours,1980,Summer
2123,8,6,Sailing Mixed 5.5 metres,1952,Summer
2124,8,17,Sailing Mixed 5.5 metres,1956,Summer
2125,6,12,Swimming Men's 200 metres Freestyle,2004,Summer
2126,6,12,Swimming Men's 200 metres Breaststroke,2004,Summer
2127,6,12,Swimming Men's 200 metres Individual Medley,2004,Summer
2128,6,10,Swimming Men's 200 metres Breaststroke,2008,Summer
2129,6,10,Swimming Men's 200 metres Individual Medley,2008,Summer
2130,16,18,Rowing Men's Coxed Fours,1960,Summer
2131,6,21,Swimming Men's 100 metres Breaststroke,1980,Summer
2132,12,21,Weightlifting Men's Middle-Heavyweight,1980,Summer
2133,20,13,Boxing Men's Light-Flyweight,1968,Summer
2134,5,6,Athletics Women's 80 metres Hurdles,1952,Summer
2135,16,21,Rowing Women's Coxed Eights,1980,Summer
2136,16,7,Rowing Women's Single Sculls,2000,Summer
2137,16,21,Rowing Women's Double Sculls,1980,Summer
2138,13,11,"Wrestling Men's Heavyweight, Greco-Roman",2016,Summer
2139,12,11,Weightlifting Men's Super-Heavyweight,2016,Summer
2140,20,11,Boxing Women's Lightweight,2016,Summer
2141,5,12,Athletics Men's High Jump,2004,Summer
2142,22,2,Cycling Women's BMX,2012,Summer
2143,5,22,"Athletics Men's 3,000 metres Steeplechase",1964,Summer
2144,12,8,Weightlifting Men's Middle-Heavyweight,1996,Summer
2145,6,8,Swimming Men's 200 metres Breaststroke,1996,Summer
2146,12,14,Weightlifting Men's Super-Heavyweight,1972,Summer
2147,12,20,Weightlifting Men's Super-Heavyweight,1976,Summer
2148,12,21,Weightlifting Men's Super-Heavyweight,1980,Summer
2149,24,2,"Canoeing Men's Kayak Doubles, 200 metres",2012,Summer
2150,24,2,"Canoeing Men's Kayak Doubles, 1,000 metres",2012,Summer
2151,24,11,"Canoeing Men's Kayak Doubles, 1,000 metres",2016,Summer
2152,23,22,Diving Women's Platform,1964,Summer
2153,23,13,Diving Women's Platform,1968,Summer
2154,23,7,Diving Women's Springboard,2000,Summer
2155,24,2,"Canoeing Men's Kayak Fours, 1,000 metres",2012,Summer
2156,30,2,Volleyball Men's Volleyball,2012,Summer
2157,12,2,Weightlifting Men's Lightweight,1948,Summer
2158,20,22,Boxing Men's Light-Middleweight,1964,Summer
2159,5,7,"Athletics Men's 5,000 metres",2000,Summer
2160,20,13,Boxing Men's Welterweight,1968,Summer
2161,25,9,Tennis Men's Doubles,1912,Summer
2162,5,12,Athletics Men's Marathon,1906,Summer
2163,5,12,Athletics Men's 4 x 100 metres Relay,2004,Summer
2164,11,7,Handball Women's Handball,2000,Summer
2165,6,15,Swimming Women's 100 metres Butterfly,1988,Summer
2166,20,5,Boxing Men's Featherweight,1932,Summer
2167,17,4,"Fencing Men's Sabre, Masters, Individual",1900,Summer
2168,17,5,"Fencing Men's Foil, Team",1932,Summer
2169,16,19,Rowing Men's Coxed Eights,1928,Summer
2170,16,5,Rowing Men's Coxless Fours,1932,Summer
2171,16,5,Rowing Men's Coxed Eights,1932,Summer
